Subject	Sample
HG00119	HG00119
HG00452	HG00452
HG03464	HG03464
NA12874	NA12874
HG03295	HG03295
HG02537	HG02537
HG01486	HG01486
NA12275	NA12275
HG03765	HG03765
NA18943	NA18943
NA11881	NA11881
NA19652	NA19652
HG02654	HG02654
NA19042	NA19042
NA18879	NA18879
HG01200	HG01200
HG02017	HG02017
HG02391	HG02391
HG02014	HG02014
HG03313	HG03313
HG01810	HG01810
HG00341	HG00341
NA19017	NA19017
NA19086	NA19086
NA10847	NA10847
NA18597	NA18597
HG03388	HG03388
NA18986	NA18986
HG00693	HG00693
HG01437	HG01437
HG02409	HG02409
NA18993	NA18993
HG01519	HG01519
HG00326	HG00326
HG02854	HG02854
HG03126	HG03126
NA18747	NA18747
NA18559	NA18559
HG03115	HG03115
HG01525	HG01525
HG03105	HG03105
HG00114	HG00114
HG03518	HG03518
NA19703	NA19703
HG03363	HG03363
HG00273	HG00273
HG01064	HG01064
NA19054	NA19054
NA20766	NA20766
HG01846	HG01846
HG01360	HG01360
HG03162	HG03162
NA20513	NA20513
NA20585	NA20585
NA20339	NA20339
NA19818	NA19818
HG02798	HG02798
HG03397	HG03397
HG02140	HG02140
HG03225	HG03225
HG00131	HG00131
HG00103	HG00103
NA18546	NA18546
HG00543	HG00543
NA12154	NA12154
NA18637	NA18637
NA18971	NA18971
NA19076	NA19076
HG00619	HG00619
HG00632	HG00632
HG02136	HG02136
NA18868	NA18868
HG00381	HG00381
NA18577	NA18577
HG01618	HG01618
HG01873	HG01873
NA19904	NA19904
HG00362	HG00362
NA20872	NA20872
HG01865	HG01865
NA18939	NA18939
NA18979	NA18979
HG02511	HG02511
HG03066	HG03066
NA18980	NA18980
HG01512	HG01512
HG01183	HG01183
HG01860	HG01860
HG00656	HG00656
HG01607	HG01607
HG02943	HG02943
NA18519	NA18519
HG02461	HG02461
NA12546	NA12546
NA19443	NA19443
HG00608	HG00608
HG00739	HG00739
HG03624	HG03624
HG01786	HG01786
NA18507	NA18507
HG00315	HG00315
HG00158	HG00158
HG03451	HG03451
HG02442	HG02442
HG01697	HG01697
NA20814	NA20814
NA18856	NA18856
NA18596	NA18596
NA18646	NA18646
NA20752	NA20752
HG01709	HG01709
NA20511	NA20511
HG02184	HG02184
NA20589	NA20589
NA19403	NA19403
HG02179	HG02179
HG00662	HG00662
HG00264	HG00264
NA18952	NA18952
NA18608	NA18608
HG03159	HG03159
NA20826	NA20826
HG00625	HG00625
HG01302	HG01302
HG00357	HG00357
HG02852	HG02852
NA18613	NA18613
NA18618	NA18618
HG01086	HG01086
HG03548	HG03548
HG03084	HG03084
HG01354	HG01354
NA19455	NA19455
HG02317	HG02317
HG02884	HG02884
HG03521	HG03521
NA12716	NA12716
NA20801	NA20801
HG01031	HG01031
HG02433	HG02433
HG02141	HG02141
NA10851	NA10851
NA19072	NA19072
HG01398	HG01398
HG00607	HG00607
HG02152	HG02152
HG03073	HG03073
HG03095	HG03095
HG02941	HG02941
HG02337	HG02337
NA12842	NA12842
NA19390	NA19390
HG03442	HG03442
HG00328	HG00328
NA18915	NA18915
HG01168	HG01168
HG02479	HG02479
HG02128	HG02128
HG02562	HG02562
HG02513	HG02513
HG02031	HG02031
HG02233	HG02233
HG03054	HG03054
NA19472	NA19472
HG02716	HG02716
NA18555	NA18555
NA19321	NA19321
HG01795	HG01795
NA12348	NA12348
HG01797	HG01797
HG01536	HG01536
NA19655	NA19655
NA18625	NA18625
NA20517	NA20517
HG01762	HG01762
NA20531	NA20531
HG02081	HG02081
NA20525	NA20525
HG00584	HG00584
NA07056	NA07056
HG00554	HG00554
HG00278	HG00278
HG01140	HG01140
NA20796	NA20796
NA19141	NA19141
HG01768	HG01768
HG02395	HG02395
NA20528	NA20528
HG03470	HG03470
HG02769	HG02769
NA18539	NA18539
HG01784	HG01784
NA19909	NA19909
HG03369	HG03369
HG01938	HG01938
HG00478	HG00478
HG01630	HG01630
NA19209	NA19209
HG01989	HG01989
NA19002	NA19002
HG01859	HG01859
NA19430	NA19430
NA18642	NA18642
NA18535	NA18535
HG02060	HG02060
NA18962	NA18962
HG02808	HG02808
HG01501	HG01501
NA19917	NA19917
NA18486	NA18486
HG01072	HG01072
HG01680	HG01680
HG02050	HG02050
NA19055	NA19055
HG02006	HG02006
NA18525	NA18525
HG01459	HG01459
NA20544	NA20544
HG02678	HG02678
HG03237	HG03237
NA19189	NA19189
HG03303	HG03303
HG01600	HG01600
HG01799	HG01799
HG03108	HG03108
HG02881	HG02881
NA20811	NA20811
NA20804	NA20804
HG01055	HG01055
HG00583	HG00583
HG00290	HG00290
HG00641	HG00641
HG01805	HG01805
HG03168	HG03168
NA20317	NA20317
HG01112	HG01112
NA20763	NA20763
NA19461	NA19461
HG01807	HG01807
HG02588	HG02588
HG01777	HG01777
HG03202	HG03202
HG03476	HG03476
NA18552	NA18552
HG00308	HG00308
HG01530	HG01530
HG00145	HG00145
NA20858	NA20858
NA19449	NA19449
NA11933	NA11933
HG01869	HG01869
HG03091	HG03091
NA19068	NA19068
HG01958	HG01958
HG03376	HG03376
HG00879	HG00879
NA19080	NA19080
HG03514	HG03514
HG01191	HG01191
HG02814	HG02814
NA06984	NA06984
NA19678	NA19678
HG03097	HG03097
HG01389	HG01389
HG02156	HG02156
HG02067	HG02067
NA12878	NA12878
HG01204	HG01204
HG00403	HG00403
NA18550	NA18550
HG02888	HG02888
NA18946	NA18946
NA12249	NA12249
NA18951	NA18951
NA18972	NA18972
HG02385	HG02385
NA19030	NA19030
HG01242	HG01242
HG01521	HG01521
NA18571	NA18571
NA19064	NA19064
NA19171	NA19171
NA20504	NA20504
NA19467	NA19467
NA20756	NA20756
NA19711	NA19711
HG01625	HG01625
NA19350	NA19350
HG01104	HG01104
HG03460	HG03460
NA18570	NA18570
NA18975	NA18975
NA18516	NA18516
HG01377	HG01377
NA18748	NA18748
NA11831	NA11831
NA19397	NA19397
HG00729	HG00729
HG02496	HG02496
NA19095	NA19095
NA20294	NA20294
NA18874	NA18874
HG00107	HG00107
HG02554	HG02554
HG01608	HG01608
NA19238	NA19238
NA19317	NA19317
HG02489	HG02489
NA12775	NA12775
HG01710	HG01710
